Filename,Start,End,Final_Start,Final_End,Transcription_id,Time,Transcription
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:00,00:00:03,0:00:00,0:00:03,0000,000000Z,runway two three rig fli fo zro
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:04,00:00:17,0:00:04,0:00:17,0001,000000Z,read m runway hold short instruction contact rondon  point nine for clearance and taxi instruction adi  iia contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:21,00:00:26,0:00:21,0:00:26,0002,000000Z,greasp airport eites information echo two three five four zulu
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:27,00:00:30,0:00:27,0:00:30,0003,000000Z,wind calm one zero
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:31,00:00:45,0:00:31,0:00:45,0004,000000Z,cealing two five thousand broken two three two point three three zero two four visual approach five right five left and yuth notice t eirmisio
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:46,00:00:49,0:00:46,0:00:49,0005,000000Z,runway one four three two close
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:00:50,00:01:19,0:00:50,0:01:19,0006,000000Z,taxi way delta closed between taxi way kilo and taxi way delto one taxi way kilo klosed between runway one for and taxi way kilo one taxi way te one betwen taxi way delta and  ils runway five right out of service runway five righ approach fht istm out of service runway five right precision approach passing t kaber out of servie runway two three righlt rea tak runway hold short and
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:01:20,00:01:30,0:01:20,0:01:30,0007,000000Z,contact ground two one doint nine for clearance and taxi instructions adlis on initial contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:01:34,00:02:14,0:01:34,0:02:14,0008,000000Z,reenborow aerport att informatio echo two three five four zuluwnd calm one zero velig two five thousand broken two three two point three a e thre zero two four visual approach five righ five left an us noci runway one four three two cos taxi way delta losed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:02:15,00:02:38,0:02:15,0:02:38,0009,000000Z,ils runway five right out of service runway five right approach  sitm out of service runway five right precision approach assintiter out of service runway two three rea  runway hold short indstruction contact groundo to on poit nine for clearance and taxi instruction
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:02:39,00:02:43,0:02:39,0:02:43,0010,000000Z,advin initial contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:02:47,00:02:53,0:02:47,0:02:53,0011,000000Z,greenor ar pourt da  information echo two three five four zulu wind calm
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:02:54,00:03:33,0:02:54,0:03:33,0012,000000Z,one zero velg two five thousand broken two three two point three ati  three zero two four visual ap proach five right five left nut irunway one four three two close taxi way delta close between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and te ils runway five right out of service runway five right pproach lttm out of service
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:03:34,00:03:41,0:03:34,0:03:41,0013,000000Z,runway five right  approach ass indicater out of service runway two three right flight flev
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:03:42,00:03:55,0:03:42,0:03:55,0014,000000Z,re runway hold short instruction contact roendo point nine for clearance and taxi instrcion ad contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:03:59,00:04:08,0:03:59,0:04:08,0015,000000Z,greanbr airport ai information echo two three five four zulu wind calm  one o zero
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:04:09,00:04:23,0:04:09,0:04:23,0016,000000Z,cealing two five thousand broken two three two point three three zero two four visual approach five right five left and us noticeermisi
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:04:24,00:04:27,0:04:24,0:04:27,0017,000000Z,runway one four three two lose
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:04:28,00:05:08,0:04:28,0:05:08,0018,000000Z,taxi way delta closed between taxi way kilo and taxi wayt eto one taxi way kilo closed between runway one four and taxi way kilo one taxi way deto one between taxi way delta and  ils runway five right ou of service runway five righ approach tt out of service runway five right precisin approach passing de out of service runway two three righl rea a ol runway hold short andtrction contact ground on to one point nine for clearance and taxi instrction advi t you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:05:12,00:05:52,0:05:12,0:05:52,0019,000000Z,breenpo aerport at information echo two three five four zuluwindcalms one zero veelig two five thousand broken two three two poimnt three ibe thre zero to four visual approach five righ five left and yu runway one four three two close taxi way delta klosed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:05:53,00:06:21,0:05:53,0:06:21,0020,000000Z,ils runway five right out of service runway five right approach  t out of servics runway five right precision approach pass ingtiter out of service runway two three rg  reao runway hold short instruction contact roundonto point nine four clearance and taxi instructions advis on nitia contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:06:25,00:07:11,0:06:25,0:07:11,0021,000000Z,greenboro arport  information echo two three five four zulundclm one zero telig two five thousand broken two three two poimnt three an three zero two four visual approach five riget five left nus noir miiorunway one four three two plose taxi way delta losed between taxi way kilo and taxi way delta one taxi way kilo closed between runway one four and taxi way kilo one taxi way delta one between taxi way delta and  ils runway five right out of service runway five right approach igt out of servie
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:07:12,00:07:19,0:07:12,0:07:19,0022,000000Z,runway five rightqeg approach pass ing tecater out of service runway two three right fl fl
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:07:20,00:07:33,0:07:20,0:07:33,0023,000000Z,re runway hold short instruction contact rondon point nine for clearance and taxi instruction adlionia contact you have information echo
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:07:37,00:07:46,0:07:37,0:07:46,0024,000000Z,repair port demites information echo two three five four zulu wind calm one zero
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:07:47,00:07:55,0:07:47,0:07:55,0025,000000Z,two five thousand broken two three two point three three zero two four
KGSO1-ATIS-Jun-01-2024-0000Z.wav,00:07:56,00:08:05,0:07:56,0:08:05,0026,000000Z,visual approach five right five left anus notice till airmisi runway one four three two close
