Filename,Start,End,Final_Start,Final_End,Transcription_id,Time,Transcription
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:01:58,00:02:16,0:01:58,0:02:16,0000,000000Z,ive five n six fivecosseob five
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:02:40,00:02:44,0:02:40,0:02:44,0001,000000Z,rsix fove four golf
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:02:50,00:02:56,0:02:50,0:02:56,0002,000000Z,ap
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:03:17,00:03:22,0:03:17,0:03:22,0003,000000Z,six fiv o olf sqawk two zero two four
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:03:49,00:03:55,0:03:49,0:03:55,0004,000000Z,onienine six fox crto thre thousand foxt fr
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:03:56,00:04:00,0:03:56,0:04:00,0005,000000Z,epep
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:04:05,00:04:10,0:04:05,0:04:10,0006,000000Z,ollev three zero two four
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:05:06,00:05:14,0:05:06,0:05:14,0007,000000Z,t seven six  fheading three three five bact tothre treeven i tree one
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:06:22,00:06:28,0:06:22,0:06:28,0008,000000Z,se sixt six thousad six tousadu six
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:07:02,00:07:08,0:07:02,0:07:08,0009,000000Z,thr trefours
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:07:15,00:07:32,0:07:15,0:07:32,0010,000000Z,to five fouripp ixpect fyeright
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:07:33,00:07:39,0:07:33,0:07:39,0011,000000Z,ibing arcor altve three zero two five
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:08:32,00:08:40,0:08:32,0:08:40,0012,000000Z,eht fortn two si four one five
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:08:41,00:08:42,0:08:41,0:08:42,0013,000000Z,tro
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:09:28,00:09:34,0:09:28,0:09:34,0014,000000Z,fifty seven sixty nine to  three thouand six teen oine
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:10:18,00:10:26,0:10:18,0:10:26,0015,000000Z,tree trenty five eading two three five teel itree five e
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:11:50,00:11:58,0:11:50,0:11:58,0016,000000Z,seven six  three one four zero o one four zeroseven six
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:12:38,00:12:43,0:12:38,0:12:43,0017,000000Z,t sixty seven sixty niner four quak one zero
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:12:46,00:12:57,0:12:46,0:12:57,0018,000000Z,swiss nine zr svesixnifire break  nineteen onee
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:13:11,00:13:12,0:13:11,0:13:12,0019,000000Z,praha
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:14:26,00:14:35,0:14:26,0:14:35,0020,000000Z,two five r four thre our efour tree to fiveart firb four tefour five
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:16:53,00:16:59,0:16:53,0:16:59,0021,000000Z,furte twenty five contact tmte o e tetrz
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:19:23,00:19:28,0:19:23,0:19:28,0022,000000Z,ttour w twt  ou foue
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:19:31,00:19:36,0:19:31,0:19:36,0023,000000Z,six fove zerr three zer two five
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:19:37,00:19:41,0:19:37,0:19:41,0024,000000Z,lo
KGSO1-App-Dep-Jun-01-2024-0000Z.wav,00:20:05,00:20:09,0:20:05,0:20:09,0025,000000Z,gaar fiur five tre to o squawk t one seven zero
